method,stage,stage_order,x,n_species,n_species_with_pu,mean_persist,median_persist,q10_persist,q90_persist,min_persist,max_persist,frac_gt_05,total_pu_area_km2
rank,6,6,28.2220994609865,182,182,0.890999904774987,0.999999979112033,0.458022906591328,1,0,1,0.895604395604396,7533615.15942964
rank,7,7,32.9130272076623,182,182,0.890488555422562,0.999999987542501,0.458022906591328,1,0,1,0.895604395604396,7332779.85403243
rank,8,8,37.603063945369,182,182,0.890101723247741,0.999999993945229,0.458022906591328,1,0,1,0.895604395604396,7094439.34544737
rank,9,9,42.294366853716,182,182,0.889899868176141,0.99999999340166,0.458022906591328,1,0,1,0.895604395604396,6825646.20274201
rank,10,10,46.984731857885,182,182,0.889517376963785,0.999999992035868,0.458022906591328,1,0,1,0.895604395604396,6522852.12726729
rank,11,11,51.6772071464547,182,182,0.888962822539319,0.999999990723706,0.458022906591328,1,0,1,0.895604395604396,6152117.02160927
rank,12,12,56.3696355398155,182,182,0.888290450263266,0.999999998082563,0.458022906591328,1,0,1,0.895604395604396,5737536.47095226
rank,13,13,61.0801185886043,182,182,0.887201777542975,0.999999998656123,0.458022906591328,1,0,1,0.895604395604396,5262284.74833811
rank,14,14,65.7855369548315,182,182,0.885788069918374,0.999999995662295,0.45500182198172,1,0,1,0.89010989010989,4746187.66542402
rank,15,15,70.4793253092505,182,182,0.883554545783675,0.999999990361912,0.442451912268591,1,0,1,0.89010989010989,4195870.4128714
rank,16,16,75.1702061607174,182,182,0.876755522442639,0.999999983377795,0.415188192609201,1,0,1,0.879120879120879,3605349.4851966
rank,17,17,79.8661985899549,182,181,0.869658998749781,0.999999944398173,0.155745297601409,1,0,1,0.879120879120879,2963357.81542423
rank,18,18,84.5572201270485,182,180,0.864442221000821,0.999999996893702,0.155745297601409,1,0,1,0.873626373626374,2300683.30442001
rank,19,19,89.261981960351,182,179,0.85377178755578,0.999999804656391,0.149428230667778,1,0,1,0.868131868131868,1618606.0574465
rank,20,20,93.953331763907,182,179,0.820199909793201,0.999948388980916,0.132521321284286,1,0,1,0.824175824175824,909189.086355632
rank,21,21,98.6595004534767,182,172,0.599573394193941,0.792723317297449,1.56467842016286e-09,0.999999546630245,0,0.999999999999995,0.60989010989011,186463.669247476
rank,22,22,99.7962403173118,182,146,0.152657440527137,0.000543853214789669,0,0.66016363637643,0,0.914592133485621,0.148351648351648,22705.8922536999
